Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,Valid Through,url
poll clerk,"Posted on March 19, 2024",STRATÉGIE ORGANISATION ET MÉTHODE SOM INC.,"Montréal, QC",17.00 HOUR,36.5 hours per week,Term or contractPart time leading to full time,,1 vacancy,,,,,,4/1/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40556550?source=searchresults
dishwasher,"Posted on March 28, 2024",CAFE ACADIEN BONAVENTURE INC.,"Bonaventure, QC",16.00 HOUR,40 hours per week,Seasonal employmentFull time,,1 vacancy,,,,,,4/28/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40648184?source=searchresults
"attendant, recreation park","Posted on March 01, 2024",Camp Sportmax inc.,"Val-d'Or, QC",16.50 HOUR,25 hours per week,Seasonal employmentPart time,,10 vacancies,,,,,,4/8/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40402713?source=searchresults
commissary waiter/waitress,"Posted on March 04, 2024",Cedhar Gestion inc,"Saint-Félix-de-Valois, QC",15.75 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,10 vacancies,English or French,"Secondary (high) school graduation certificate

or equivalent experience",Experience an asset,"Address customers' complaints or concerns, Present bills to customers and accept payment in cash, credit or debit cards, travellers cheques or room billings, Balance cash and record sales, Clear and clean tables, trays and chairs, Serve food and beverages, Take orders and relay to kitchen and bar staff, Assist clients/guests with special needs, Provide customer service",,4/3/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40420489?source=searchresults
bookkeeper,"Posted on March 22, 2024",Profidential Inc.,"Montréal, QC",25.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English or French,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years

or equivalent experience",2 years to less than 3 years,"Calculate and prepare cheques for payroll, Keep financial records and establish, maintain and balance various accounts using manual and computerized bookkeeping systems, Maintain general ledgers and financial statements, Prepare other statistical, financial and accounting reports, Reconcile accounts, Perform basic bookkeeping tasks",Free parking available,4/21/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40591289?source=searchresults
patrol officer - security,"Posted on March 12, 2024",Groupe Sûreté Inc.,"Saint-Eustache, QC",19.34 HOUR,,Permanent employmentFull time,Starts as soon as possible,10 vacancies,,,,,,4/10/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40493726?source=searchresults
automotive body painter,"Posted on March 25, 2024",Carrosserie Vaudreuil-Dorion Inc.,"Vaudreuil-Dorion, QC",22.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English or French,"No degree, certificate or diploma",5 years or more,"File, grind and sand body surfaces to be repaired, Mask and tape auto body surfaces in preparation for painting, Apply primers and repaint surfaces, Mix paint, blend and match colors",,4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40616955?source=searchresults
building construction estimator,"Posted on March 20, 2024",MaxSys - Québec,"Lévis, QC","90,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/18/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40570648?source=searchresults
electrical mechanic,"Posted on March 21, 2024",LE GROUPE DSD INC.,"Thetford Mines, QC",23.50 HOUR,36 hours per week,Permanent employmentFull time,,2 vacancies,,,,,,4/30/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40578659?source=searchresults
"helper, production painter","Posted on March 27, 2024",Doucet Machineries inc.,"Sainte-Anne-du-Sault, QC",20.64 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English or French,Secondary (high) school graduation certificate,1 year to less than 2 years,"Transport raw materials, finished products and equipment throughout plant manually or using powered equipment, Check and weigh materials and products, Sort, pack, crate and package materials and products, Assist machine operators, assemblers and other workers, Perform other labouring and elemental activities, Clean machines and immediate work areas","Disability benefits, Health care plan, Vision care benefits, Life insurance, Night shift premium, Registered Retirement Savings Plan (RRSP), Deferred Profit Sharing Plan (DPSP), Travel insurance",4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40640187?source=searchresults
sales consultant - retail,"Posted on March 05, 2024",Sports Experts - Centre Rockland,"Mont-Royal, QC",15.25 HOUR,,Permanent employmentFull time,Starts as soon as possible,6 vacancies,,,,,,4/3/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40431330?source=searchresults
chemical laboratory analyst,"Posted on March 04, 2024",FORMULA A INC,"Baie-d'Urfé, QC",25.00 HOUR,35 hours per week,Permanent employmentFull time,Starts as soon as possible,3 vacancies,English,"Bachelor's degree

or equivalent experience",1 year to less than 2 years,"Assist in set up and conduction of chemical experiments, Compile records for analytical studies, Operate and maintain laboratory equipment and apparatus and prepare solutions of gas and liquid, reagents and sample formulations, Good Manufacturing Practices (GMP), MS Office, Assist in developing programs of sampling and analysis to maintain quality standards, Assist in development of standards, health and safety measures, Assist in the development of chemical engineering processes, studies of chemical engineering procurement, construction, inspection and maintenance, Compile records and interpret experimental or analytical results, Assist in design and fabrication of experimental apparatus, Develop and conduct programs of sampling and analysis, Prepare solution of gas or liquid, reagents, and sample formulations, Set up and conduct chemical experiments, Conduct safety training programs",Free parking available,4/3/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40417833?source=searchresults
furniture sales consultant - retail,"Posted on March 14, 2024",Meubles & Nous,"Saint-Georges, QC","50,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40512770?source=searchresults
light duty cleaner,"Posted on January 27, 2024","Gestion Matte, Gauthier et Doxy","Maniwaki, QC",18.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English or French,"No degree, certificate or diploma",Will train,"Sweep, mop, wash and polish floors, Vacuum carpeting, area rugs, draperies and upholstered furniture, Disinfect operating rooms and other areas, Clean and disinfect elevators, Pick up debris and empty trash containers, Wash windows, walls and ceilings",,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40135520?source=searchresults
imam,"Posted on December 28, 2023",Bridges of Canada Inc.,"Donnacona, QC",27.33 HOUR,39 hours per month,Permanent employmentPart time,Starts as soon as possible,1 vacancy,Bilingual,"Bachelor's degree

or equivalent experience
Islamic studies",3 years to less than 5 years,"Conduct religious services, Administer rites of faith such as marriages and funerals, Provide spiritual and moral guidance to members of a religious faith, Supervise, plan and administer programs of religious education, Pray and promote spirituality by delivering sermons and other talks","Dental plan, Health care plan, Vision care benefits, As per collective agreement",4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40352671?source=searchresults
bartender,"Posted on March 11, 2024",Relèvénement inc.,"Québec, QC",15.60 HOUR,,Permanent employmentFull time,Starts as soon as possible,18 vacancies,,,,,,4/9/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40483053?source=searchresults
custom wood furniture maker,"Posted on March 22, 2024",Groupe Cabico Inc.,"Coaticook, QC",21.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/20/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40586058?source=searchresults
babysitting caregiver,"Posted on January 05, 2024",Belvine,"Val-d'Or, QC","1,550 BIWEEKLY",35 hours per week,Permanent employmentFull time,,1 vacancy,French,"No degree, certificate or diploma

or equivalent experience",1 year to less than 2 years,"Assume full responsibility for household in absence of parents, Perform light housekeeping and cleaning duties, Bathe, dress and feed infants and children, Discipline children according to the methods requested by the parents, Instruct children in personal hygiene and social development, Maintain a safe and healthy environment in the home, Prepare and serve nutritious meals, Prepare infants and children for rest periods, Supervise and care for children, Tend to emotional well-being of children",Night shift premium,4/4/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40221640?source=searchresults
"driver, truck","Posted on March 13, 2024",Sanivac,"Notre-Dame-de-l'Île-Perrot, QC",28.50 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40504236?source=searchresults
"assembler, buses","Posted on March 25, 2024",Prevost,"Sainte-Claire, QC",32.08 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/23/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40616374?source=searchresults
immigration consultant,"Posted on March 28, 2024",New Direction Canada Inc.,"Montréal, QC","30,000 YEAR",,Full time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40647750?source=searchresults
"caretaker, park","Posted on March 25, 2024",SOCIETE DES ETABLISSEMENTS DE PLEIN AIR DU QUEBEC,"Sainte-Praxède, QC",16.35 HOUR,35 hours per week,Casual employmentFull time,,1 vacancy,,,,,,4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40614333?source=searchresults
heavy diesel engine mechanic,"Posted on March 11, 2024",Kenworth Haut-Richelieu inc.,"Saint-Jean-sur-Richelieu, QC",29.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/9/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40479349?source=searchresults
technical assistant - office support,"Posted on March 06, 2024",Société de transport de l'Outaouais,"Gatineau, QC","52,463 YEAR",,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/4/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40436880?source=searchresults
respiratory therapist,"Posted on March 27, 2024",CENTRE INTÉGRÉ UNIVERSITAIRE DE SANTÉ ET DE SERVICES SOCIAUX DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,"Drummondville, QC",25.39 BIWEEKLY,21 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40637645?source=searchresults
accounting assistant,"Posted on March 10, 2024",J.A SANTE INC.,"Québec, QC",18.00 HOUR,30 hours per week,Permanent employmentFull time,,2 vacancies,,,,,,4/14/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40475452?source=searchresults
lift truck operator,"Posted on March 21, 2024",Groupe PureSphera,"Bécancour, QC",20.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40581928?source=searchresults
tutor - elementary school subjects,"Posted on March 21, 2024",ACCOMPAGNEMENT SCOLAIRE INC.,"Montréal, QC",25.00 HOUR,5 hours per week,Permanent employmentPart time,,20 vacancies,,,,,,4/30/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40580078?source=searchresults
property rentals manager,"Posted on March 20, 2024",Groupe Corev,"Mirabel, QC","45,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40578955?source=searchresults
butcher shop clerk,"Posted on March 03, 2024",Sprint,"Saint-Jean-Port-Joli, QC",16.25 HOUR,,Permanent employmentPart time,Starts as soon as possible,1 vacancy,,,,,,4/1/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40413963?source=searchresults
assistant controller,"Posted on March 06, 2024",Fed Finance,"Dorval, QC","70,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/4/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40437620?source=searchresults
machinist,"Posted on March 15, 2024",Precimax Ltd,"LaSalle, QC",18.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English or French,"Other trades certificate or diploma

or equivalent experience",2 years to less than 3 years,"Read and interpret engineering drawings, blueprints, charts and tables, Repair machine tools and parts, Set up and adjust production machineries/tools, Fit and assemble components and machine parts to close tolerance, Maintain, repair and calibrate precision measuring instruments, Document and report deviations from specifications and tolerances, Verify dimensions of parts machined using precise measuring instruments (e.g., micrometers, calipers), Compute dimensions and tolerances and measure and lay out work pieces, Set up and operate conventional and computer controlled machine tools, Verify dimensions of products for accuracy and conformance to specifications using precision measuring instruments","Free parking available, Parking available",4/14/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40524565?source=searchresults
delivery truck driver,"Posted on March 07, 2024",Jardin Eden,"Sherbrooke, QC",18.27 HOUR,40 hours per week,Seasonal employmentPart time leading to full time,,1 vacancy,,,,,,4/15/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40447786?source=searchresults
"driver, truck","Posted on March 03, 2024",MARQUAGE LIGNPRO INC.,"Saint-Elzéar, QC",24.00 HOUR,40 hours per week,Seasonal employmentFull time,,1 vacancy,,,,,,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40415778?source=searchresults
construction electrician helper,"Posted on March 12, 2024",SOLUTIONS PRADA INC.,"Charny, QC",20.00 HOUR,40 hours per week,Permanent employmentPart time leading to full time,,5 vacancies,,,,,,4/16/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40496965?source=searchresults
electrical mechanic,"Posted on March 20, 2024",Lynx RH,"Thetford Mines, QC",25.77 HOUR,,Permanent employment,Starts as soon as possible,2 vacancies,,,,,,4/18/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40564596?source=searchresults
welder,"Posted on March 20, 2024",ISE métal inc.,"Sherbrooke, QC",25.92 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/18/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40567750?source=searchresults
reception clerk,"Posted on March 26, 2024",SOCIETE DES ETABLISSEMENTS DE PLEIN AIR DU QUEBEC,"Orford, QC",16.25 HOUR,35 hours per week,Seasonal employmentFull time,,4 vacancies,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40625343?source=searchresults
hairstylist,"Posted on February 05, 2024",Coiffure Marianne,"Québec, QC",15.25 HOUR,35 to 40 hours per week,Term or contractFull time,Starts as soon as possible,2 vacancies,French,"Other trades certificate or diploma

or equivalent experience
Hair styling/stylist and hair design",Experience an asset,"Book appointments, Cut and trim hair according to client's instructions or preferences, Shampoo customers' hair, Provide other hair treatment, such as waving, straightening and tinting and also provide scalp conditioning massages, Analyze hair and scalp condition and provide basic treatment or advice on beauty care treatments for scalp and hair, Cut, trim, taper, curl, wave, perm and style hair",Commission,4/27/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40203901?source=searchresults
